id,timestamp,x,y,angle
42,119766,470,247,-0.187072458
33,119766,453,261,2.870431808
37,119766,411,277,0.211091346
10,119799,331,229,5.239015654
1,119799,433,201,4.199454654
0,119799,208,82,1.093754346
33,119799,448,261,2.801471463
45,119800,490,244,-0.511658733
42,119800,470,247,-0.398127916
37,119800,411,277,0.211091346
10,119833,332,228,5.176036654
1,119833,432,204,4.266676654
0,119833,206,81,1.093754346
45,119833,490,244,-0.571968992
42,119833,470,247,-0.187072458
33,119833,447,262,2.652069764
37,119833,412,277,0.211091346
10,119866,332,229,5.158100654
1,119866,432,203,4.266676654
0,119866,204,83,1.630728346
45,119866,490,244,-0.347766988
42,119866,470,247,-0.074057859
33,119866,446,259,2.731649385
37,119866,414,277,0.211091346
10,119899,332,228,5.184885654
1,119899,432,203,4.257669654
0,119899,201,83,1.784004346
33,119899,446,259,2.794504772
45,119900,490,244,-0.796804513
42,119900,470,247,-0.288177042
37,119900,414,278,0.211091346
10,119933,332,229,5.158100654
1,119933,432,203,4.266676654
0,119933,201,83,1.813351346
45,119933,490,244,-0.288290244
42,119933,470,247,-0.368802792
33,119933,449,261,2.793380122
37,119933,414,279,0.211091346
10,119966,339,225,5.675739654
1,119966,432,203,4.244257654
0,119966,200,83,1.844967346
45,119966,490,244,-0.380506377
42,119966,470,247,-0.320867942
33,119966,449,259,2.89148583
37,119966,415,280,0.211091346
10,119999,339,225,5.684009654
1,119999,431,203,4.213042654
0,119999,202,84,1.784004346
33,119999,444,257,2.723995414
45,120000,490,244,-0.3668211
42,120000,470,247,-0.067544154
37,120000,416,280,0.211091346
10,120033,339,224,5.783837654
1,120033,431,203,4.235349654
0,120033,199,84,1.971749346
45,120033,490,244,-0.380506377
42,120033,470,247,-0.208906947
33,120033,448,260,2.722335
37,120033,416,279,0.211091346
10,120066,337,224,5.815052654
1,120066,431,203,4.213042654
0,120066,200,86,2.178244346
45,120066,490,241,-0.633157699
42,120066,470,247,-0.06208228
33,120066,447,260,2.498407201
37,120066,416,279,0.211091346
10,120099,337,224,5.783837654
1,120099,431,203,4.213042654
0,120099,199,90,2.561880346
33,120099,447,258,2.776778101
45,120100,490,240,-0.339292614
42,120100,470,247,0.043722119
37,120100,416,279,0.211091346
10,120133,337,224,5.815052654
1,120133,431,203,4.213042654
0,120133,198,90,2.561880346
45,120133,490,240,-0.489119806
42,120133,470,247,-0.349547803
33,120133,451,260,2.689663258
37,120133,416,279,0.211091346
10,120166,338,224,5.792637654
1,120166,430,203,4.141051654
0,120166,197,89,2.469989346
45,120166,491,237,-0.588566619
42,120166,470,247,-0.320867942
33,120166,448,258,2.821850129
37,120166,416,279,0.211091346
10,120199,338,225,5.770249654
1,120199,429,204,4.163364654
0,120199,197,90,2.534151346
33,120199,447,256,2.870386646
45,120200,491,237,-0.655613572
42,120200,470,247,-0.236404382
37,120200,416,279,0.211091346
10,120233,339,225,5.734159654
1,120233,429,204,4.141051654
0,120233,200,91,2.570258346
45,120233,491,237,-0.805058551
42,120233,470,247,-0.08195885
33,120233,450,260,2.653997528
37,120233,416,279,0.211091346
10,120266,339,225,5.770249654
1,120266,429,204,4.141051654
0,120266,199,91,2.614968346
45,120266,491,237,-0.556343834
42,120266,470,247,-0.288177042
33,120266,446,258,2.776218998
37,120266,416,279,0.211091346
10,120299,339,224,5.801520654
1,120299,429,204,4.163364654
0,120299,200,93,2.695883346
33,120299,448,258,2.711611076
45,120300,491,237,-0.801091942
42,120300,470,247,-0.261606004
37,120300,416,279,0.211091346
10,120333,339,224,5.815052654
1,120333,429,204,4.149520654
0,120333,200,93,2.722363346
45,120333,491,237,-0.601404309
42,120333,470,247,-0.104167048
33,120333,447,256,2.88499391
37,120333,416,279,0.211091346
10,120366,339,224,5.792637654
1,120366,428,204,4.213042654
0,120366,199,94,2.628660346
45,120366,491,237,-0.604121852
42,120366,470,247,-0.074057859
33,120366,450,260,2.727593651
37,120366,416,279,0.211091346
10,120399,339,224,5.783837654
1,120399,427,206,4.221842654
0,120399,197,98,2.794533346
33,120399,453,261,2.691972181
45,120400,492,237,-0.734935989
42,120400,470,247,-0.142275413
37,120400,416,279,0.211091346
10,120433,339,225,5.747910654
1,120433,426,206,4.185761654
0,120433,198,101,2.991223346
45,120433,492,237,-0.520979853
42,120433,470,247,-0.272032332
33,120433,457,262,2.759294699
37,120433,416,279,0.211091346
10,120466,339,224,5.779018654
1,120466,426,206,4.149520654
0,120466,198,100,2.918564346
45,120466,492,237,-0.952896093
42,120466,470,247,-0.19067824
33,120466,453,262,2.540215903
37,120466,416,279,0.211091346
10,120499,339,225,5.747910654
1,120499,426,207,4.104944654
0,120499,198,103,3.001112346
33,120499,451,260,2.710794049
45,120500,492,237,-0.576753078
42,120500,470,247,0.020585327
37,120500,416,279,0.211091346
10,120533,341,223,5.850776654
1,120533,423,208,4.118846654
0,120533,198,103,2.991223346
45,120533,492,237,-0.926161432
42,120533,470,247,0.022576808
33,120533,455,260,2.768888459
37,120533,416,279,0.211091346
10,120566,341,223,5.828465654
1,120566,422,208,4.082859654
0,120566,199,104,3.191552654
45,120566,492,237,-0.566054909
42,120566,470,247,0.118792875
33,120566,448,260,2.521343168
37,120566,416,279,0.211091346
10,120599,341,223,5.859873654
1,120599,422,208,4.096769654
0,120599,199,104,3.181572654
33,120599,453,259,2.783929403
45,120600,492,237,-0.763375293
42,120600,470,247,-0.239434714
37,120600,416,279,0.211091346
10,120633,342,222,5.895284654
1,120633,422,209,4.096769654
0,120633,199,105,3.181572654
45,120633,494,236,-1.019575655
42,120633,470,247,0.022576808
33,120633,449,259,2.787914626
37,120633,416,279,0.211091346
10,120666,342,222,5.967762654
1,120666,421,210,4.032975654
0,120666,199,105,3.333095654
45,120666,494,236,-0.894818527
42,120666,470,247,-0.131732666
33,120666,451,259,2.782980588
37,120666,416,279,0.211091346
10,120699,342,222,5.945561654
1,120699,421,210,4.046979654
0,120699,198,105,3.372115654
45,120700,494,236,-0.837524812
42,120700,470,247,-0.091126233
33,120700,450,260,2.723368324
37,120700,416,279,0.211091346
10,120733,342,222,5.904533654
1,120733,421,210,4.068888654
0,120733,198,106,3.252251654
45,120733,494,236,-0.879098875
42,120733,470,247,-0.202634771
33,120733,452,258,2.855919856
37,120733,416,278,0.211091346
10,120766,341,223,5.926747654
1,120766,421,210,4.054861654
0,120766,198,106,3.282076654
45,120766,494,236,-1.050011765
42,120766,470,247,0.015216217
33,120766,450,259,2.734088858
37,120766,416,278,0.211091346
10,120799,341,223,5.904533654
1,120799,420,211,4.096769654
0,120799,198,106,3.241262654
45,120800,494,236,-0.730906707
42,120800,470,247,-0.213980843
33,120800,452,260,2.671714596
37,120800,416,278,0.211091346
10,120833,341,223,5.913850654
1,120833,420,211,4.096769654
0,120833,198,106,3.291965654
45,120833,494,236,-0.916839325
42,120833,470,247,0.144635107
33,120833,448,259,2.768233874
37,120833,418,277,0.211091346
10,120866,341,223,5.895284654
1,120866,420,211,4.113213654
0,120866,199,107,3.262217654
45,120866,496,235,-1.332772729
42,120866,470,247,-0.142275413
33,120866,451,261,2.669371599
37,120866,418,276,0.211091346
10,120899,341,223,5.895284654
1,120899,419,211,4.113213654
0,120899,199,107,3.262217654
45,120900,497,235,-1.535194937
42,120900,470,247,-0.178514044
33,120900,458,262,2.745378192
37,120900,418,276,0.211091346
10,120933,341,223,5.895284654
1,120933,418,211,4.082859654
0,120933,199,109,3.374407654
45,120933,497,235,-1.335871463
42,120933,470,247,-0.067544154
33,120933,451,259,2.626883442
37,120933,418,276,0.211091346
10,120966,341,224,5.895284654
1,120966,418,211,4.032975654
0,120966,200,108,3.542543654
45,120966,497,234,-1.388499473
42,120966,470,247,-0.06208228
33,120966,452,261,2.648862338
37,120966,418,276,0.211091346
10,120999,341,224,5.873056654
1,120999,417,211,4.018929654
0,120999,201,111,3.510927654
45,121000,497,234,-1.085530465
42,121000,470,247,-0.101572324
33,121000,450,258,2.673743389
37,121000,417,277,0.211091346
10,121033,341,224,5.882234654
1,121033,416,212,4.018929654
0,121033,201,111,3.529493654
45,121033,497,234,-1.192189025
42,121033,470,247,0.016277632
33,121033,451,257,3.014167044
37,121033,416,277,3.352684
10,121066,341,224,5.917436654
1,121066,416,212,4.032975654
0,121066,202,111,3.469713654
45,121066,497,233,-1.020943144
42,121066,472,238,-0.378245642
33,121066,452,259,2.778097323
37,121066,407,275,0.820845
10,121099,341,224,5.913850654
1,121099,416,212,4.004847654
0,121099,202,111,3.447472654
42,121099,470,245,-0.271625353
37,121099,407,274,0.849142
45,121100,497,233,-1.067337479
33,121100,451,260,2.618634311
10,121133,341,224,5.882234654
1,121133,416,212,4.018929654
0,121133,203,111,3.510927654
45,121133,496,232,-1.075413344
42,121133,470,245,-0.153332388
33,121133,452,260,2.650295615
37,121133,408,272,0.820845
10,121166,341,224,5.873056654
1,121166,416,212,4.004847654
0,121166,206,112,3.712930654
45,121166,496,232,-0.988658759
42,121166,469,243,-0.172631038
33,121166,455,259,2.8508258
37,121166,408,272,0.835003
10,121199,341,224,5.859873654
1,121199,414,211,4.032975654
0,121199,206,111,3.726810654
42,121199,465,242,-0.237602274
37,121199,407,272,0.927296
45,121200,496,232,-0.988658759
33,121200,452,259,2.627720752
10,121233,342,224,5.873056654
1,121233,416,211,3.990734654
0,121233,208,111,3.799121654
45,121233,494,230,-0.825644875
42,121233,469,245,-0.075985109
33,121233,452,258,2.560940157
37,121233,407,265,1.093757
10,121266,342,224,5.882234654
1,121266,416,210,3.969219654
0,121266,211,113,3.983269654
45,121266,494,230,-0.835775671
42,121266,466,243,-0.084368978
33,121266,455,259,2.823814273
37,121266,407,264,1.125084
10,121299,342,224,5.895284654
1,121299,415,210,3.983269654
0,121299,212,113,4.104944654
42,121299,466,244,-0.213321403
37,121299,406,263,1.066631
45,121300,494,230,-0.965532799
33,121300,454,257,2.843739717
10,121333,342,224,5.873056654
1,121333,415,210,3.976595654
0,121333,213,113,4.154848654
45,121333,494,230,-0.891715134
42,121333,465,243,-0.140530935
33,121333,453,260,2.77397394
37,121333,405,264,1.035523
10,121366,341,220,5.806144654
1,121366,415,210,3.990734654
0,121366,213,113,4.177115654
45,121366,494,230,-1.047857563
42,121366,468,243,-0.128748157
33,121366,454,259,2.753765366
37,121366,405,264,1.066631
10,121399,341,220,5.806144654
1,121399,415,209,4.004847654
0,121399,214,113,4.289078654
42,121399,469,243,-0.044161123
37,121399,405,261,1.236468
45,121400,494,230,-0.925905365
33,121400,453,259,2.652495995
10,121433,341,220,5.792637654
1,121433,416,208,4.004847654
0,121433,215,113,4.409503654
45,121433,494,230,-0.891715134
42,121433,466,242,-0.295849612
33,121433,451,257,2.763201716
37,121433,407,257,1.255375
10,121466,342,220,5.815052654
1,121466,416,208,3.997297654
0,121466,215,113,4.311439654
45,121466,494,230,-0.821967219
42,121466,467,241,-0.361344412
33,121466,452,258,2.710835647
37,121466,407,257,1.264917
10,121499,343,220,5.779018654
1,121499,416,208,4.004847654
0,121499,215,113,4.346641654
42,121499,468,242,-0.200037562
37,121499,407,257,1.264917
45,121500,494,230,-0.766995333
33,121500,450,261,2.538806181
10,121533,343,220,5.806144654
1,121533,416,208,3.990734654
0,121533,215,112,4.324488654
45,121533,494,230,-0.821967219
42,121533,466,243,-0.077501134
33,121533,456,260,2.65334798
37,121533,408,257,1.264917
10,121566,343,220,5.783837654
1,121566,417,207,3.990734654
0,121566,214,112,4.253245654
45,121566,494,230,-0.735161139
42,121566,470,241,-0.238244758
33,121566,454,261,2.635968481
37,121566,407,257,1.236468
10,121599,343,220,5.752968654
1,121599,416,203,3.870712654
0,121599,215,112,4.374766654
42,121599,469,243,-0.290896152
37,121599,407,256,1.264917
45,121600,494,228,-0.952431853
33,121600,452,260,2.626240788
10,121633,343,219,5.725643654
1,121633,416,203,3.835052654
0,121633,218,111,4.511071654
45,121633,494,228,-0.687590166
42,121633,468,243,-0.225091782
33,121633,453,259,2.905463317
37,121633,408,256,1.205049
10,121666,343,220,5.703468654
1,121666,415,202,3.793046654
0,121666,220,111,4.562017654
45,121666,494,228,-0.753868727
42,121666,468,243,-0.172379209
33,121666,454,260,2.806315349
37,121666,408,255,1.236468
10,121699,343,218,5.770249654
1,121699,415,202,3.771123654
0,121699,222,110,4.612719654
42,121699,468,243,-0.165148677
37,121699,410,252,1.337982
45,121700,495,226,-0.878924194
33,121700,453,260,2.673070431
10,121733,343,213,6.233225654
1,121733,415,202,3.827322654
0,121733,222,110,4.562017654
45,121733,495,226,-0.961158057
42,121733,467,244,-0.15427954
33,121733,454,258,2.744714943
37,121733,409,251,1.347765
10,121766,343,213,6.192523654
1,121766,415,201,3.863247654
0,121766,222,110,4.571906654
45,121766,495,226,-0.935921891
42,121766,469,243,-0.351371518
33,121766,452,258,2.79536488
37,121766,408,250,1.379294
10,121799,343,213,6.182515654
1,121799,417,200,3.835052654
0,121799,222,110,4.602829654
42,121799,464,242,-0.141319687
37,121799,409,250,1.349967
45,121800,495,226,-0.931446007
33,121800,452,260,2.513536925
10,121833,343,211,6.142701654
1,121833,417,200,3.813199654
0,121833,220,109,4.762347654
45,121833,495,226,-0.783433529
42,121833,465,241,-0.313355229
33,121833,456,260,2.695253569
37,121833,409,250,1.337982
10,121866,343,211,6.131301654
1,121866,417,200,3.849134654
0,121866,219,108,4.913706654
45,121866,495,226,-0.870821125
42,121866,466,241,-0.221733968
33,121866,453,259,2.721741721
37,121866,408,245,1.242676
10,121899,343,211,6.142701654
1,121899,417,200,3.863247654
0,121899,218,106,4.842955654
42,121899,466,243,-0.062131907
37,121899,408,245,1.242676
45,121900,495,226,-0.82571011
33,121900,453,260,2.647774757
10,121933,343,211,6.122953654
1,121933,417,200,3.849134654
0,121933,218,106,4.862760654
45,121933,495,226,-0.738391844
42,121933,467,241,-0.151489087
33,121933,454,262,2.570032556
37,121933,408,244,1.264917
10,121966,343,211,6.152617654
1,121966,417,200,3.877386654
0,121966,218,106,4.842955654
45,121966,495,226,-1.0199835
42,121966,466,242,-0.157528661
33,121966,453,262,2.737812719
37,121966,408,242,1.242676
10,121999,343,211,6.131301654
1,121999,417,199,3.863247654
0,121999,218,106,4.862760654
42,121999,469,242,-0.312466277
37,121999,408,240,1.223735
45,122000,495,226,-0.750929062
33,122000,453,259,2.649381387
10,122033,343,211,6.152617654
1,122033,417,199,3.934083654
0,122033,218,104,4.935419654
45,122033,495,226,-0.908554734
42,122033,467,242,-0.099159142
33,122033,450,261,2.530866689
37,122033,408,238,1.242676
10,122066,342,211,6.103330654
1,122066,417,199,3.948264654
0,122066,218,104,4.945202654
45,122066,495,226,-0.916052719
42,122066,472,244,-0.114254328
33,122066,452,261,2.503007523
37,122066,407,238,1.264917
10,122099,344,211,6.121346654
1,122099,417,199,3.948264654
0,122099,218,100,5.027810654
42,122099,467,242,-0.099159142
37,122099,407,238,1.264917
45,122100,495,226,-0.935921891
33,122100,454,261,2.758243067
10,122133,344,211,6.103330654
1,122133,417,199,3.919899654
0,122133,218,100,5.037293654
45,122133,495,226,-1.055100638
42,122133,467,241,-0.329759536
33,122133,454,261,2.792188578
37,122133,407,238,1.255375
10,122166,344,211,6.131301654
1,122166,417,199,3.962437654
0,122166,216,96,5.015273654
45,122166,495,226,-0.819949366
